Ausschuss	MdL	Partei
Innen	Manfred Ländner 	CSU
Gesundheit	Manuel Westphal 	CSU
Landwirtschaft	Manuel Westphal 	CSU
Bildung	Margit Wild 	SPD
Bildung	Markus Bayerbach 	AfD
Bildung	Markus Bayerbach 	AfD
Öffentlicher Dienst	Markus Bayerbach 	AfD
Bau	Markus Büchler 	GRU
Öffentlicher Dienst	Markus Ganserer 	GRU
Öffentlicher Dienst	Markus Ganserer 	GRU
Landwirtschaft	Markus Plenk 	AfD
Europa	Markus Rinderspacher 	SPD
Haushalt	Martin Bachhuber 	CSU
Europa	Martin Böhm 	AfD
Verfassung	Martin Hagen 	FDP
Gesundheit	Martin Mittag 	CSU
Wirtschaft	Martin Mittag 	CSU
Landwirtschaft	Martin Schöffel 	CSU
Landwirtschaft	Martin Schöffel 	CSU
Wirtschaft	Martin Stümpfig 	GRU
Wirtschaft	Martin Stümpfig 	GRU
Bau	Martin Wagle 	CSU
Umwelt	Martin Wagle 	CSU
Landwirtschaft	Martina Fehlner 	SPD
Innen	Matthias Enghuber 	CSU
Soziales	Matthias Enghuber 	CSU
Bildung	Matthias Fischbach 	FDP
Bildung	Max Deisenhofer 	GRU
Innen	Max Gibis 	CSU
Öffentlicher Dienst	Max Gibis 	CSU
Gesundheit	Michael Busch 	SPD
Soziales	Michael Busch 	SPD
Haushalt	Michael Hofmann 	CSU
Bau	Natascha Kohnen 	SPD
Landwirtschaft	Nikolaus Kraus 	FW
Bildung	Norbert Dünkel 	CSU
Innen	Norbert Dünkel 	CSU
Bildung	Otto Lederer 	CSU
Innen	Otto Lederer 	CSU
Umwelt	Patrick Friedl 	GRU
Landwirtschaft	Paul Knoblach 	GRU
Bildung	Peter Tomaschko 	CSU
Innen	Peter Tomaschko 	CSU
Verfassung	Petra Guttenberger 	CSU
Verfassung	Petra Guttenberger 	CSU
Landwirtschaft	Petra Högl 	CSU
Soziales	Petra Högl 	CSU
Petitionen	Petra Loibl 	CSU
Bildung	Gerhard Waschler 	CSU
Umwelt	Ingo Hahn 	AfD
Wissenschaft	Ingo Hahn 	AfD
Gesundheit	Peter Bauer 	FW
Wissenschaft	Winfried Bausback 	CSU
Wissenschaft	Raimund Swoboda 	AfD
Petitionen	Rainer Ludwig 	FW
Wirtschaft	Rainer Ludwig 	FW
Landwirtschaft	Ralf Stadler 	AfD
Bau	Ralph Müller 	AfD
Innen	Richard Graupner 	AfD
Wissenschaft	Robert Brannekämper 	CSU
Wissenschaft	Robert Brannekämper 	CSU
Gesundheit	Roland Magerl 	AfD
Umwelt	Rosi Steinberger 	GRU
Umwelt	Rosi Steinberger 	GRU
Landwirtschaft	Ruth Müller 	SPD
Umwelt	Ruth Müller 	SPD
Gesundheit	Ruth Waldmann 	SPD
Gesundheit	Ruth Waldmann 	SPD
Wissenschaft	Sabine Weigand 	GRU
Wirtschaft	Sandro Kirchner 	CSU
Wirtschaft	Sandro Kirchner 	CSU
Bau	Sebastian Körber 	FDP
Bau	Sebastian Körber 	FDP
Innen	Stefan Löw 	AfD
Innen	Stefan Schuster 	SPD
Haushalt	Steffen Vogel 	CSU
Petitionen	Stephanie Schuhknecht 	GRU
Petitionen	Stephanie Schuhknecht 	GRU
Gesundheit	Susann Enders 	FW
Soziales	Susann Enders 	FW
Wissenschaft	Susanne Kurz 	GRU
Soziales	Sylvia Stierstorfer 	CSU
Landwirtschaft	Tanja Schorer-Dremel 	CSU
Öffentlicher Dienst	Thomas Gehring 	GRU
Soziales	Thomas Huber 	CSU
Soziales	Thomas Huber 	CSU
Bau	Thorsten Schwab 	CSU
Landwirtschaft	Thorsten Schwab 	CSU
Haushalt	Tim Pargent 	GRU
Europa	Tobias Gotthardt 	FW
Europa	Tobias Gotthardt 	FW
Haushalt	Tobias Gotthardt 	FW
Verfassung	Tobias Reiß 	CSU
Verfassung	Toni Schuberl 	GRU
Petitionen	Uli Henkel 	AfD
Soziales	Ulrich Singer 	AfD
Bau	Ulrike Scharf 	CSU
Wirtschaft	Ulrike Scharf 	CSU
Bau	Ursula Sowa 	GRU
Wissenschaft	Verena Osgyan 	GRU
Öffentlicher Dienst	Volker Bauer 	CSU
Umwelt	Volker Bauer 	CSU
Wissenschaft	Volkmar Halbleib 	SPD
Wirtschaft	Walter Nussel 	CSU
Europa	Walter Taubeneder 	CSU
Verfassung	Walter Taubeneder 	CSU
Landwirtschaft	Wolfgang Fackler 	CSU
Öffentlicher Dienst	Wolfgang Fackler 	CSU
Öffentlicher Dienst	Wolfgang Fackler 	CSU
Innen	Wolfgang Hauber 	FW
Öffentlicher Dienst	Wolfgang Hauber 	FW
